Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy,shortage_units,risk_level
Lisinopril,9991,1505,Monthly,8486,HIGH
Insulin,9980,1529,Monthly,8451,HIGH
Atorvastatin,9914,1505,Quarterly,8409,HIGH
Insulin,9935,1530,Monthly,8405,HIGH
Lisinopril,9966,1562,Quarterly,8404,HIGH
Metformin,9978,1576,Monthly,8402,HIGH
Atorvastatin,9987,1587,Monthly,8400,HIGH
Lisinopril,9945,1546,Weekly,8399,HIGH
Metformin,9959,1563,Weekly,8396,HIGH
Lisinopril,9976,1610,Quarterly,8366,HIGH
Atorvastatin,9914,1548,Weekly,8366,HIGH
Insulin,9991,1634,Quarterly,8357,HIGH
Lisinopril,9985,1631,Weekly,8354,HIGH
Lisinopril,9897,1546,Monthly,8351,HIGH
Lisinopril,9882,1532,Quarterly,8350,HIGH
Insulin,9942,1600,Monthly,8342,HIGH
Insulin,9983,1642,Monthly,8341,HIGH
Lisinopril,9980,1639,Quarterly,8341,HIGH
Atorvastatin,9969,1629,Weekly,8340,HIGH
Atorvastatin,9852,1519,Quarterly,8333,HIGH
Lisinopril,9942,1614,Monthly,8328,HIGH
Insulin,9876,1573,Weekly,8303,HIGH
Lisinopril,9838,1538,Monthly,8300,HIGH
Insulin,9999,1702,Quarterly,8297,HIGH
Metformin,9805,1508,Quarterly,8297,HIGH
Atorvastatin,9918,1624,Weekly,8294,HIGH
Lisinopril,9805,1516,Quarterly,8289,HIGH
Atorvastatin,9830,1543,Monthly,8287,HIGH
Atorvastatin,9979,1692,Monthly,8287,HIGH
Insulin,9824,1543,Weekly,8281,HIGH
Lisinopril,9768,1508,Quarterly,8260,HIGH
Metformin,9816,1558,Quarterly,8258,HIGH
Atorvastatin,9887,1630,Quarterly,8257,HIGH
Lisinopril,9756,1515,Quarterly,8241,HIGH
Lisinopril,9959,1724,Quarterly,8235,HIGH
Lisinopril,9745,1512,Weekly,8233,HIGH
Atorvastatin,9860,1637,Quarterly,8223,HIGH
Lisinopril,9916,1694,Quarterly,8222,HIGH
Lisinopril,9841,1619,Quarterly,8222,HIGH
Lisinopril,9760,1544,Monthly,8216,HIGH
Atorvastatin,9822,1607,Quarterly,8215,HIGH
Lisinopril,9954,1742,Weekly,8212,HIGH
Lisinopril,9997,1786,Quarterly,8211,HIGH
Lisinopril,9874,1664,Weekly,8210,HIGH
Metformin,9732,1536,Quarterly,8196,HIGH
Atorvastatin,9764,1569,Monthly,8195,HIGH
Lisinopril,9990,1796,Monthly,8194,HIGH
Atorvastatin,9996,1802,Weekly,8194,HIGH
Lisinopril,9727,1537,Monthly,8190,HIGH
Insulin,9952,1763,Weekly,8189,HIGH
Metformin,9812,1625,Quarterly,8187,HIGH
Lisinopril,9852,1668,Weekly,8184,HIGH
Atorvastatin,9784,1600,Quarterly,8184,HIGH
Atorvastatin,9910,1728,Quarterly,8182,HIGH
Lisinopril,9951,1770,Monthly,8181,HIGH
Atorvastatin,9972,1794,Monthly,8178,HIGH
Atorvastatin,9701,1525,Weekly,8176,HIGH
Metformin,9941,1766,Quarterly,8175,HIGH
Lisinopril,9838,1664,Weekly,8174,HIGH
